year,month,Market retrun,Risk-Free Return,Excess Return,Small-Minus-Big,High-Minus-Low,Momentum Factor
,,,Rate (One Month,on the Market,Return,Return,
,,,Treasury Bill,,,,
,,,Rate),,,,
1926,7,0.0284,0.0022,0.0262,-0.0216,-0.0292,.
1926,8,0.0281,0.0025,0.0256,-0.0149,0.0488,.
1926,9,0.0059,0.0023,0.0036,-0.0138,-0.0001,.
1926,10,-0.0311,0.0032,-0.0343,0.0004,0.0071,.
1926,11,0.0275,0.0031,0.0244,-0.0024,-0.0031,.
1926,12,0.0305,0.0028,0.0277,-0.0001,-0.001,.
1927,1,0.0014,0.0025,-0.0011,-0.003,0.0479,0.0023
1927,2,0.0458,0.0026,0.0432,-0.0024,0.0335,-0.0153
1927,3,0.0062,0.003,0.0032,-0.0187,-0.0258,0.0322
1927,4,0.0066,0.0025,0.0041,0.0029,0.0095,0.0428
1927,5,0.0569,0.003,0.0539,0.0153,0.0507,0.0333
1927,6,-0.0204,0.0026,-0.023,0.0065,-0.0204,0.0064
1927,7,0.0757,0.003,0.0727,-0.0354,-0.0086,0.0399
1927,8,0.027,0.0028,0.0242,-0.0075,-0.0414,0.0132
1927,9,0.049,0.0021,0.0469,-0.0344,-0.0108,0.0163
1927,10,-0.0419,0.0025,-0.0444,0.0204,-0.0445,-0.0134
1927,11,0.0687,0.0021,0.0666,0.0256,-0.0002,-0.0048
1927,12,0.0237,0.0022,0.0215,0.0106,-0.0073,0.0309
1928,1,-0.0035,0.0025,-0.006,0.044,-0.0132,-0.0023
1928,2,-0.0144,0.0033,-0.0177,-0.0196,-0.0063,-0.0135
1928,3,0.0909,0.0029,0.088,-0.0024,-0.0141,0.0499
1928,4,0.0432,0.0022,0.041,0.0408,0.0342,-0.0404
1928,5,0.0184,0.0032,0.0152,0.0306,-0.037,0.0178
1928,6,-0.0453,0.0031,-0.0484,-0.0359,0.0007,0.0203
1928,7,0.0101,0.0032,0.0069,-0.0163,-0.0007,0.0242
1928,8,0.0696,0.0032,0.0664,-0.0214,-0.0212,0.0392
1928,9,0.0314,0.0027,0.0287,0.0177,0.0135,0.0403
1928,10,0.0188,0.0041,0.0147,0.0271,-0.0263,0.0438
1928,11,0.1213,0.0038,0.1175,-0.022,0.033,0.0134
1928,12,0.0053,0.0006,0.0047,-0.0109,-0.0002,0.0159
1929,1,0.0521,0.0034,0.0487,-0.028,-0.0175,0.0216
1929,2,-0.0002,0.0036,-0.0038,0.0087,0.0094,0.0312
1929,3,-0.008,0.0034,-0.0114,-0.0436,0.01,-0.0061
1929,4,0.0168,0.0036,0.0132,-0.0082,0.0046,0.0205
1929,5,-0.0591,0.0044,-0.0635,-0.0709,0.0071,-0.026
1929,6,0.0997,0.0052,0.0945,-0.0174,-0.0248,0.0928
1929,7,0.0453,0.0033,0.042,-0.0438,0.0199,0.0341
1929,8,0.0856,0.004,0.0816,-0.0879,-0.0049,0.0571
1929,9,-0.05,0.0035,-0.0535,0.0142,-0.0112,0.0157
1929,10,-0.1955,0.0046,-0.2001,-0.0377,0.0895,0.0405
1929,11,-0.1233,0.0037,-0.127,-0.022,0.047,-0.0091
1929,12,0.018,0.0037,0.0143,-0.0463,0.0025,0.039
1930,1,0.0566,0.0014,0.0552,0.0446,-0.0229,-0.0458
1930,2,0.0277,0.003,0.0247,0.007,-0.0055,0.0098
1930,3,0.075,0.0035,0.0715,0.0371,0.0037,-0.0426
1930,4,-0.0209,0.0021,-0.023,-0.0067,-0.0196,0.0344
1930,5,-0.0133,0.0026,-0.0159,-0.0178,-0.0157,0.0011
1930,6,-0.1579,0.0027,-0.1606,-0.0333,0.0211,0.0639
1930,7,0.0397,0.002,0.0377,0.0056,-0.0254,-0.0269
1930,8,0.0041,0.0009,0.0032,-0.0213,-0.0088,0.036
1930,9,-0.124,0.0022,-0.1262,-0.0217,-0.0445,0.1178
1930,10,-0.087,0.0009,-0.0879,-0.0102,-0.0061,0.0695
1930,11,-0.026,0.0013,-0.0273,0.0223,-0.029,-0.0119
1930,12,-0.0784,0.0014,-0.0798,-0.0497,-0.0501,0.1358
1931,1,0.0625,0.0015,0.061,0.0379,0.0756,-0.1003
1931,2,0.1094,0.0004,0.109,0.0271,0.0222,-0.1449
1931,3,-0.064,0.0013,-0.0653,0.028,-0.0308,0.0942
